logical_document_id,title,document_role,document_subtype,problem_code,problem_id,solution_lineage_id,parse_status,evidence_status,segmentation_status,completeness_status,page_count
logical_46818be424f5ce44,空中防撞系统的设计,award_paper,none,A,problem_cumcm_1995_a,lineage_cumcm_1995_7a9fe12ed8169ceb,partially_parsed,key_content_verified,segmented,complete,2
logical_50c9d00eddfb5e45,飞行管理模型的线性化处理方法,award_paper,none,A,problem_cumcm_1995_a,lineage_cumcm_1995_812fcea8acf12fe1,partially_parsed,key_content_verified,segmented,complete,4
logical_f5a5674b53e05ce6,飞行管理问题的逐步逼近搜索方法,award_paper,none,A,problem_cumcm_1995_a,lineage_cumcm_1995_1db02c2ddf9dbff7,partially_parsed,key_content_verified,segmented,complete,2
logical_938f1e65b2cc2025,飞行管理模型的能量梯度求解法,award_paper,none,A,problem_cumcm_1995_a,lineage_cumcm_1995_dc6630fc9ae83422,partially_parsed,key_content_verified,segmented,complete,5
logical_e280519b4d5ded48,飞行管理问题约束条件的线性化,award_paper,none,A,problem_cumcm_1995_a,lineage_cumcm_1995_441d47b5da6737e7,partially_parsed,key_content_verified,segmented,complete,3
logical_cfc31feab7ee82c6,飞行管理问题的线性规划模型,award_paper,none,A,problem_cumcm_1995_a,lineage_cumcm_1995_2a485b279426c7a4,partially_parsed,key_content_verified,segmented,complete,6
logical_6c39c41905b640e6,飞行管理问题的实时算法,award_paper,none,A,problem_cumcm_1995_a,lineage_cumcm_1995_290626e2d97f2004,partially_parsed,key_content_verified,segmented,complete,9
logical_65ce8e0f32c3a1e9,飞行管理问题答卷评述,expert_commentary,none,A,problem_cumcm_1995_a,,partially_parsed,key_content_verified,segmented,complete,2
logical_1d209af183eefc18,“天车与冶炼炉的作业调度”竞赛题的工业背景及其他,expert_commentary,none,B,problem_cumcm_1995_b,,partially_parsed,key_content_verified,segmented,complete,4
logical_8b43c335b9ad1f37,天车与冶炼炉的作业调度,award_paper,none,B,problem_cumcm_1995_b,lineage_cumcm_1995_eb1bf5b529269a68,partially_parsed,content_verified_partial,segmented,missing_segment,1
logical_bed219a0068a819c,天车与冶炼炉的操作模型,award_paper,none,B,problem_cumcm_1995_b,lineage_cumcm_1995_321fcebf61a7fecb,partially_parsed,key_content_verified,segmented,complete,10
logical_0c83d8db5852ff4d,天车与冶炼炉作业调度的Petri网模型,award_paper,none,B,problem_cumcm_1995_b,lineage_cumcm_1995_854e50947da98e6a,partially_parsed,key_content_verified,segmented,complete,5
logical_21f45ab1c72175a2,天车、冶炼炉作业调度的活动网络模型,award_paper,none,B,problem_cumcm_1995_b,lineage_cumcm_1995_341c73a2e6f3c076,partially_parsed,key_content_verified,segmented,complete,3
logical_99578d348349fa0f,天车与冶炼炉的作业调度模型,award_paper,none,B,problem_cumcm_1995_b,lineage_cumcm_1995_80270a7cedef62de,partially_parsed,key_content_verified,segmented,complete,3
logical_83110abb013d1aee,天车作业调度的随机性分析,award_paper,none,B,problem_cumcm_1995_b,lineage_cumcm_1995_e6ebe60f1a7eb518,partially_parsed,key_content_verified,segmented,complete,3
logical_4a2701eea6737fe6,冶炼车间的最优调度模型的检验,solution_summary,validation_summary,B,problem_cumcm_1995_b,,partially_parsed,key_content_verified,segmented,complete,2
logical_e90e8d78520ace5f,1995年A题：飞行管理问题,problem_statement,none,A,problem_cumcm_1995_a,,parsed,verified,segmented,complete,1
logical_468359ee541cba76,1995年B题：天车与冶炼炉的作业调度,problem_statement,none,B,problem_cumcm_1995_b,,parsed,verified,segmented,complete,1
