paper_id,year,problem,source_path,source_sha256,source_size,sample_role,selection_key,sample_reason
CUMCM-2014-A-006,2014,A,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (3)/关于椭圆参数的计算.doc,A4C7CFEE735094C488EFB5007EF2084771748487B29765E20C39E78296A915F6,24064,SMALL_SIZE,000000024064|CUMCM-2014-A-006,deterministic small_size by source_size then paper_id
CUMCM-2011-C-002,2011,C,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,1113600,MEDIAN_SIZE,000001113600|CUMCM-2011-C-002,deterministic median_size by source_size then paper_id
CUMCM-2013-D-001,2013,D,2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析/论文.doc,955CC7179247EDA8AD6EBB74CFD1233D514D9F80A809B0C2EB244BEACABAFDEA,3814912,LARGE_SIZE,000003814912|CUMCM-2013-D-001,deterministic large_size by source_size then paper_id
